timestamp,sampleNum,BIOZI,BIOZQ,BIOZ
70122.259765625,100.0,127472.0,-64281.0,138109.0
70140.9423828125,101.0,125974.0,-63532.0,138858.0
70159.625,102.0,124487.0,-62798.0,139592.0
70178.3076171875,103.0,123015.0,-62074.0,140316.0
70196.990234375,104.0,121561.0,-61357.0,141033.0
70215.6728515625,105.0,120127.0,-60646.0,141744.0
70234.35522460938,106.0,118713.0,-59939.0,142451.0
70253.03784179688,107.0,117319.0,-59236.0,143154.0
70271.72045898438,108.0,115942.0,-58540.0,143850.0
70290.40307617188,109.0,114583.0,-57849.0,144541.0
70309.08569335938,110.0,113239.0,-57167.0,145223.0
70327.76831054688,111.0,111911.0,-56493.0,145897.0
70346.45092773438,112.0,110599.0,-55828.0,146562.0
70365.13354492188,113.0,109303.0,-55171.0,147219.0
70383.81616210938,114.0,108025.0,-54522.0,147868.0
70402.49877929688,115.0,106766.0,-53881.0,148509.0
70421.18139648438,116.0,105524.0,-53247.0,149143.0
70439.86401367188,117.0,104297.0,-52621.0,149769.0
70458.54638671875,118.0,103083.0,-52002.0,150388.0
70477.22900390625,119.0,101879.0,-51390.0,151000.0
70495.91162109375,120.0,100685.0,-50787.0,151603.0
70514.59423828125,121.0,99502.0,-50193.0,152197.0
70533.27685546875,122.0,98333.0,-49605.0,152785.0
70551.95947265625,123.0,97178.0,-49023.0,153367.0
70570.64208984375,124.0,96037.0,-48447.0,153943.0
70589.32470703125,125.0,94912.0,-47876.0,154514.0
70608.00732421875,126.0,93800.0,-47312.0,155078.0
70626.68994140625,127.0,92703.0,-46755.0,155635.0
70645.37255859375,128.0,91620.0,-46204.0,156186.0
70664.05517578125,129.0,90549.0,-45660.0,156730.0
70682.73754882812,130.0,89491.0,-45124.0,157266.0
70701.42016601562,131.0,88445.0,-44592.0,157798.0
70720.10278320312,132.0,87413.0,-44067.0,158323.0
70738.78540039062,133.0,86392.0,-43548.0,158842.0
70757.46801757812,134.0,85381.0,-43036.0,159354.0
70776.15063476562,135.0,84380.0,-42532.0,159858.0
70794.83325195312,136.0,83387.0,-42037.0,160353.0
70813.51586914062,137.0,82400.0,-41556.0,160834.0
70832.19848632812,138.0,81421.0,-41082.0,161308.0
70850.88110351562,139.0,80455.0,-40614.0,161776.0
70869.56372070312,140.0,79503.0,-40148.0,162242.0
70888.24633789062,141.0,78565.0,-39683.0,162707.0
70906.92895507812,142.0,77643.0,-39219.0,163171.0
70925.611328125,143.0,76734.0,-38756.0,163634.0
70944.2939453125,144.0,75838.0,-38297.0,164093.0
70962.9765625,145.0,74953.0,-37843.0,164547.0
